Site;Acordes para;Tipo;Link;Part 1 ;Part 2;Part 3;Part 4
CifraClub;Violão/Guitar;Principal;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;
CifraClub;Violão/Guitar;Simplificada;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/simplificada.html;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;simplificada
CifraClub;Violão/Guitar;Academy Violao;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/academy-violao.html;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;academy-violao
CifraClub;Teclado;Principal;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/#instrument=keyboard;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;#instrument=keyboard
CifraClub;Teclado;Simplificada;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/simplificada.html#instrument=keyboard&tabs=false;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;simplificada.html#instrument=keyboard&tabs=false
;;;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/#tabs=false&instrument=keyboard;;;;
CifraClub;Teclado;Academy Violao;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/academy-violao.html#instrument=keyboard&tabs=false;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;academy-violao.html#instrument=keyboard&tabs=false
CifraClub;Cavaco;Principal;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/#instrument=cavaco;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;#instrument=cavaco
CifraClub;Cavaco;Simplificada;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/simplificada.html#instrument=cavaco&tabs=false;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;simplificada.html#instrument=cavaco&tabs=false
CifraClub;Cavaco;Academy Violao;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/academy-violao.html#instrument=cavaco&tabs=false;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;academy-violao.html#instrument=cavaco&tabs=false
CifraClub;Voice;Letra;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/letra/;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;letra
CifraClub;Batera;Tabs Batera;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/tabs-bateria/;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;tabs-bateria/
CifraClub;Baixo;Tabs Baixo;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/tabs-baixo/;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;tabs-baixo/
CifraClub;;Partitura;https://akamai.sscdn.co/gcs/cifraclub/contrib/partituras/legiao-urbana-tempo-perdido.pdf;https://akamai.sscdn.co/gcs/cifraclub/contrib/partituras/;;;legiao-urbana-tempo-perdido.pdf
CifraClub;Gaita;Tabs Gaita;https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/tabs-gaita/;www.cifraclub.com.br;Legiao-urbana;tempo-perdido;tabs-gaita/
Ultimate Guitar;Violão/Guitar;Chords;https://tabs.ultimate-guitar.com/tab/the-beatles/a-day-in-the-life-chords-17207;https://tabs.ultimate-guitar.com/tab/;the-beatles;a-day-in-the-life-chords-17207;
Ultimate Guitar;Violão/Guitar;Chords;https://tabs.ultimate-guitar.com/tab/the-beatles/a-day-in-the-life-chords-180628;https://tabs.ultimate-guitar.com/tab/;the-beatles;a-day-in-the-life-chords-180628;
Ultimate Guitar;Violão/Guitar;Chords;https://tabs.ultimate-guitar.com/tab/the-beatles/a-day-in-the-life-chords-260796;https://tabs.ultimate-guitar.com/tab/;the-beatles;a-day-in-the-life-chords-260796;
Ultimate Guitar;Guitar;Tabs Guitar;https://tabs.ultimate-guitar.com/tab/the-beatles/a-day-in-the-life-tabs-211400;https://tabs.ultimate-guitar.com/tab/;the-beatles;a-day-in-the-life-tabs-211400;
Ultimate Guitar;Bass;Tabs Baixo;https://tabs.ultimate-guitar.com/tab/the-beatles/a-day-in-the-life-bass-17494;https://tabs.ultimate-guitar.com/tab/;the-beatles;a-day-in-the-life-bass-17494;
Ultimate Guitar;Ukulele;Tabs Ukulele;https://tabs.ultimate-guitar.com/tab/the-beatles/a-day-in-the-life-ukulele-1280500;https://tabs.ultimate-guitar.com/tab/;the-beatles;a-day-in-the-life-ukulele-1280500;
Letras.mus;letra;;https://www.letras.mus.br/the-strokes/77178/;;;;